gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
010860,000003,19910919,,S&P 500 Comp-Ltd,I0003,AMEREN CORP,AEE
011910,000003,19911001,20110427,S&P 500 Comp-Ltd,I0003,NOVELL INC,NOVL
005306,000003,19911101,20050704,S&P 500 Comp-Ltd,I0003,GREAT LAKES CHEMICAL CORP,GLK.1
001602,000003,19920102,,S&P 500 Comp-Ltd,I0003,AMGEN INC,AMGN
015208,000003,19920102,20080910,S&P 500 Comp-Ltd,I0003,FEDERAL HOME LOAN MORTG CORP,3FMCC
015708,000003,19920207,,S&P 500 Comp-Ltd,I0003,ALLERGAN INC,AGN
023592,000003,19920401,20060102,S&P 500 Comp-Ltd,I0003,MBNA CORP,KRB
025124,000003,19920701,,S&P 500 Comp-Ltd,I0003,PRAXAIR INC,PX
012136,000003,19920801,20100128,S&P 500 Comp-Ltd,I0003,SUN MICROSYSTEMS INC,JAVA
006136,000003,19921001,,S&P 500 Comp-Ltd,I0003,INTERPUBLIC GROUP OF COS,IPG
028701,000003,19930801,20011212,S&P 500 Comp-Ltd,I0003,RALSTON PURINA CO,RAL.
022260,000003,19930901,20061119,S&P 500 Comp-Ltd,I0003,HCA HOLDINGS INC,HCA
029028,000003,19931001,,S&P 500 Comp-Ltd,I0003,COSTCO WHOLESALE CORP,COST
011247,000003,19931001,20010903,S&P 500 Comp-Ltd,I0003,WACHOVIA CORP-OLD,WB.1
002055,000003,19931101,20020721,S&P 500 Comp-Ltd,I0003,BARRICK GOLD CORP,ABX
015084,000003,19931101,20060402,S&P 500 Comp-Ltd,I0003,BURLINGTON RESOURCES INC,BR.2
020779,000003,19931201,,S&P 500 Comp-Ltd,I0003,CISCO SYSTEMS INC,CSCO
003226,000003,19931201,20021118,S&P 500 Comp-Ltd,I0003,COMCAST CORP,CMCSA
029392,000003,19940101,,S&P 500 Comp-Ltd,I0003,EASTMAN CHEMICAL CO,EMN
009783,000003,19940301,,S&P 500 Comp-Ltd,I0003,KEYCORP,KEY
012726,000003,19940301,,S&P 500 Comp-Ltd,I0003,UNUM GROUP,UNM
012141,000003,19940601,,S&P 500 Comp-Ltd,I0003,MICROSOFT CORP,MSFT
009882,000003,19940701,,S&P 500 Comp-Ltd,I0003,SOUTHWEST AIRLINES,LUV
010903,000003,19940701,,S&P 500 Comp-Ltd,I0003,UNITEDHEALTH GROUP INC,UNH
009699,000003,19940901,,S&P 500 Comp-Ltd,I0003,SIGMA-ALDRICH CORP,SIAL
013714,000003,19940901,,S&P 500 Comp-Ltd,I0003,CBS CORP,CBS
007343,000003,19940927,,S&P 500 Comp-Ltd,I0003,MICRON TECHNOLOGY INC,MU
025157,000003,19940927,20070924,S&P 500 Comp-Ltd,I0003,FIRST DATA CORP,3511B
007711,000003,19940927,20090101,S&P 500 Comp-Ltd,I0003,NATIONAL CITY CORP,NCC
030865,000003,19941025,20060402,S&P 500 Comp-Ltd,I0003,CINERGY CORP,DUK6
061489,000003,19941201,20110331,S&P 500 Comp-Ltd,I0003,QWEST COMMUNICATION INTL INC,Q.2
001318,000003,19941221,20071118,S&P 500 Comp-Ltd,I0003,ALLTEL CORP,AT.2
012679,000003,19950118,20000620,S&P 500 Comp-Ltd,I0003,SILICON GRAPHICS INC,SGICQ
005079,000003,19950209,20011106,S&P 500 Comp-Ltd,I0003,GPU INC,GPU.
025279,000003,19950224,,S&P 500 Comp-Ltd,I0003,BOSTON SCIENTIFIC CORP,BSX
001704,000003,19950316,,S&P 500 Comp-Ltd,I0003,APPLIED MATERIALS INC,AMAT
002019,000003,19950331,,S&P 500 Comp-Ltd,I0003,BANK OF NEW YORK MELLON CORP,BK
003278,000003,19950501,20060731,S&P 500 Comp-Ltd,I0003,AVIS BUDGET GROUP INC,CAR
006781,000003,19950510,,S&P 500 Comp-Ltd,I0003,LOEWS CORP,L
015354,000003,19950522,20010805,S&P 500 Comp-Ltd,I0003,ENTERASYS NETWORKS INC,ETS
031846,000003,19950530,,S&P 500 Comp-Ltd,I0003,DARDEN RESTAURANTS INC,DRI
010420,000003,19950703,20111220,S&P 500 Comp-Ltd,I0003,TELLABS INC,TLAB
009061,000003,19950705,20000102,S&P 500 Comp-Ltd,I0003,HSBC USA INC,HBC2
028349,000003,19950713,,S&P 500 Comp-Ltd,I0003,ALLSTATE CORP,ALL
014590,000003,19950731,,S&P 500 Comp-Ltd,I0003,FREEPORT-MCMORAN INC,FCX
011502,000003,19950818,20020210,S&P 500 Comp-Ltd,I0003,WILLAMETTE INDUSTRIES,WLL.1
012124,000003,19950922,,S&P 500 Comp-Ltd,I0003,MORGAN STANLEY,MS
004682,000003,19951023,20010226,S&P 500 Comp-Ltd,I0003,U S BANCORP/DE-OLD,USB.1
061464,000003,19951101,20000615,S&P 500 Comp-Ltd,I0003,MEDIAONE GROUP INC,UMG.Z
004611,000003,19951108,,S&P 500 Comp-Ltd,I0003,MACY'S INC,M
008455,000003,19951127,,S&P 500 Comp-Ltd,I0003,PPL CORP,PPL
003231,000003,19951201,,S&P 500 Comp-Ltd,I0003,COMERICA INC,CMA
027914,000003,19951201,,S&P 500 Comp-Ltd,I0003,HUMANA INC,HUM
006529,000003,19951214,20140507,S&P 500 Comp-Ltd,I0003,LSI CORP,LSI
061739,000003,19951220,,S&P 500 Comp-Ltd,I0003,HARTFORD FINANCIAL SERVICES,HIG
010553,000003,19960102,20000727,S&P 500 Comp-Ltd,I0003,3COM CORP,COMS
004640,000003,19960308,,S&P 500 Comp-Ltd,I0003,FIFTH THIRD BANCORP,FITB
012053,000003,19960328,,S&P 500 Comp-Ltd,I0003,EMC CORP/MA,EMC
005063,000003,19960401,20000105,S&P 500 Comp-Ltd,I0003,GENERAL INSTRUMENT CORP,GIC.3
001164,000003,19960401,20020514,S&P 500 Comp-Ltd,I0003,MCI INC,MCIP
003221,000003,19960423,,S&P 500 Comp-Ltd,I0003,AON PLC,AON
062897,000003,19960531,20040324,S&P 500 Comp-Ltd,I0003,TUPPERWARE BRANDS CORP,TUP
024379,000003,19960719,20081030,S&P 500 Comp-Ltd,I0003,MGIC INVESTMENT CORP/WI,MTG
009545,000003,19960816,20001121,S&P 500 Comp-Ltd,I0003,SEAGATE TECHNOLOGY-OLD,SEG.2
014489,000003,19960906,20131028,S&P 500 Comp-Ltd,I0003,DELL INC,DELL
062599,000003,19961001,20061130,S&P 500 Comp-Ltd,I0003,LUCENT TECHNOLOGIES INC,LU
061413,000003,19961016,20000716,S&P 500 Comp-Ltd,I0003,UNION PACIFIC RESOURCES GRP,UPR.1
