GOOG/PINK_CABLF,China Cablecom Holdings Ltd. (CABLF),6/26/06,2/10/14,daily,5/12/14
GOOG/NYSE_ART,Artio Global Investors Inc. (ART),9/24/09,5/21/13,daily,12/10/13
GOOG/NASDAQ_JRCC,James River Coal Company (JRCC),11/16/04,4/16/14,daily,7/15/14
GOOG/PINK_SCLR,SCOLR Pharma Inc. (SCLR),1/2/03,7/14/14,daily,10/12/14
GOOG/PINK_RMMI,Rocky Mountain Minerals Inc (RMMI),1/2/03,3/18/14,daily,6/16/14
GOOG/AMEX_BTC,Community Bankers Trust Corp. (BTC),9/5/06,3/13/13,daily,12/10/13
GOOG/PINK_CBCRQ,Capitol Bancorp Ltd. (CBCRQ),1/2/03,2/5/14,daily,5/6/14
GOOG/PINK_WAVE,Nextwave Wirless (WAVE),1/3/07,1/24/13,daily,8/27/13
GOOG/PINK_HVLL,"Hartville Group, Inc. (HVLL)",11/21/07,7/2/13,daily,9/30/13
GOOG/AMEX_BRD,Brigus Gold Corp (USA) (BRD),8/22/08,3/4/14,daily,6/2/14
GOOG/PINK_AVZAQ,Aviza Technology In (AVZAQ),1/2/03,3/1/13,daily,8/27/13
GOOG/NYSE_ODP,Office Depot Inc (ODP),6/1/88,9/25/14,daily,12/7/14
GOOG/NYSE_DOX,Amdocs Limited (DOX),6/19/98,12/19/13,daily,3/19/14
GOOG/NASDAQ_QCOR,Questcor Pharmaceuticals Inc (QCOR),11/3/92,8/14/14,daily,11/12/14
GOOG/AMEX_AIM,Aerosonic Corporation (AIM),3/11/81,6/10/13,daily,12/10/13
GOOG/AMEX_KBX,"Kimber Resources, Inc (USA) (KBX)",12/22/05,1/13/14,daily,4/13/14
GOOG/NASDAQ_TRIT,"Tri-Tech Holding, Inc. (TRIT)",9/10/09,12/12/13,daily,3/12/14
GOOG/NASDAQ_XOMA,XOMA Corp (XOMA),6/6/86,12/30/11,daily,12/10/13
GOOG/NYSE_LVB,Steinway Musical Instruments Inc (LVB),8/2/96,9/18/13,daily,12/13/13
GOOG/NASDAQ_SPCHA,"Sport Chalet, Inc. (SPCHA)",9/30/05,8/19/14,daily,11/17/14
GOOG/NASDAQ_VITC,"Vitacost.com, Inc. (VITC)",9/24/09,8/15/14,daily,11/13/14
GOOG/PINK_OART,The Ohio Art Company (OART),8/25/04,10/31/14,daily,12/8/14
GOOG/NASDAQ_GNOM,"Complete Genomics, Inc. (GNOM)",11/11/10,3/18/13,daily,12/10/13
GOOG/PINK_IMMCQ,Immunicon Corp. (IMMCQ),8/12/08,7/24/14,daily,10/22/14
GOOG/PINK_FCBN,"First Citizens Bancorporation, Inc (FCBN)",1/2/03,9/30/14,daily,12/8/14
GOOG/PINK_ACNI,"American Community Newspapers, Inc. (ACNI)",8/2/05,10/27/14,daily,12/8/14
GOOG/PINK_WFSC,Weststar Financial Services Corp (WFSC),1/2/03,5/12/14,daily,8/10/14
GOOG/NASDAQ_MKTG,Responsys Inc (MKTG),4/21/11,2/6/14,daily,5/7/14
GOOG/AMEX_RVR,White River Capital (RVR),1/19/07,2/14/13,daily,8/27/13
GOOG/PINK_ASAM,Assuranceamerica Corp (ASAM),8/6/03,12/17/13,daily,3/16/14
GOOG/PINK_FPFCQ,First Place Financial Corp. (FPFCQ),1/2/03,9/22/14,daily,12/8/14
GOOG/NYSE_GRP,Granite Real Estate Inc (GRP),6/11/12,1/3/13,daily,8/27/13
GOOG/PINK_CAGM,China Green Material Technologies Inc. (CAGM),2/24/11,4/20/11,daily,8/27/13
GOOG/PINK_FCSC,Fibrocell Science Inc (FCSC),10/21/09,5/16/13,daily,8/27/13
GOOG/PINK_SRTI,Sunrise Telecom Incorporated (SRTI),7/13/00,9/4/14,daily,12/3/14
